County,Area,Date
Narok,4050184,1995
Nyamira,3503786,1995
Nyandarua,1675884,1995
Nyeri,10329428,1995
Samburu,513666,1995
Siaya,2703687,1995
Taita Taveta,2538841,1995
Tana River,295355,1995
Tharaka-Nithi,4345622,1995
Trans Nzoia,686495,1995
Turkana,1665398,1995
Uasin Gishu,2654876,1995
Vihiga,1185167,1995
Wajir,907551,1995
West Pokot,1079311,1995
Nakuru,7748808,1995
Baringo,926157,2000
Bomet,19442486,2000
Bungoma,5475386,2000
Busia,6491857,2000
Elgeyo-Marakwet,4805233,2000
Embu,8316840,2000
Garissa,4438163,2000
Homa Bay,4661830,2000
Isiolo,1004621,2000
Kajiado,8728533,2000
Kakamega,4899401,2000
Kericho,4807811,2000
Kiambu,41019747,2000
Kilifi,12713921,2000
Kirinyaga,13853758,2000
Kisii,9961401,2000
Kisumu,10677835,2000
Kitui,15413483,2000
Kwale,7222413,2000
Laikipia,1288187,2000
Lamu,1057691,2000
Machakos,9257284,2000
Makueni,7215355,2000
Mandera,3002630,2000
Marsabit,2463067,2000
Meru,25775032,2000
Migori,12208333,2000
Mombasa,20456848,2000
Murang'a,16929082,2000
Nairobi,41242915,2000
Nandi,1703602,2000
Narok,7629906,2000
Nyamira,5910150,2000
Nyandarua,2956771,2000
Nyeri,12828127,2000
Samburu,700731,2000
Siaya,4697488,2000
Taita Taveta,3733053,2000
Tana River,474978,2000
Tharaka-Nithi,5262252,2000
Trans Nzoia,1109918,2000
Turkana,1922346,2000
Uasin Gishu,4196724,2000
Vihiga,2500250,2000
Wajir,1054551,2000
West Pokot,1540249,2000
Nakuru,11913544,2000
Baringo,3364225,2005
Bomet,24434463,2005
Bungoma,12484499,2005
Busia,12414098,2005
Elgeyo-Marakwet,7047778,2005
Embu,11908853,2005
Garissa,6033012,2005
Homa Bay,12040249,2005
Isiolo,1431210,2005
Kajiado,11958643,2005
Kakamega,14926168,2005
Kericho,8708112,2005
Kiambu,50758134,2005
Kilifi,18134676,2005
Kirinyaga,17964139,2005
Kisii,18565892,2005
Kisumu,18463684,2005
Kitui,22469890,2005
Kwale,10544139,2005
Laikipia,4131847,2005
Lamu,1555869,2005
Machakos,19090048,2005
Makueni,15300411,2005
Mandera,3889306,2005
Marsabit,3072381,2005
Meru,34249973,2005
Migori,19625471,2005
Mombasa,21946782,2005
Murang'a,25310323,2005
Nairobi,48154185,2005
Nandi,6215201,2005
Narok,11986757,2005
Nyamira,9937079,2005
Nyandarua,7702072,2005
Nyeri,18818575,2005
Samburu,1264887,2005
Siaya,12185408,2005
Taita Taveta,5702893,2005
Tana River,1226246,2005
Tharaka-Nithi,8011064,2005
Trans Nzoia,5445864,2005
Turkana,3404325,2005
Uasin Gishu,10304213,2005
Vihiga,6154839,2005
Wajir,1876039,2005
West Pokot,3296599,2005
Nakuru,23342386,2005
Baringo,9221794,2010
Bomet,32631333,2010
Bungoma,28576253,2010
Busia,24322866,2010
Elgeyo-Marakwet,11581091,2010
Embu,18366073,2010
Garissa,8497112,2010
Homa Bay,28896116,2010
Isiolo,2142334,2010
Kajiado,17936414,2010
Kakamega,38383380,2010
Kericho,17302245,2010
Kiambu,65802231,2010
Kilifi,28258718,2010
Kirinyaga,24477816,2010
Kisii,35050379,2010
Kisumu,33698960,2010
Kitui,37563882,2010
Kwale,17048340,2010
Laikipia,10927308,2010
Lamu,2541123,2010
Machakos,40153002,2010
Makueni,33374575,2010
Mandera,5371948,2010
Marsabit,3993261,2010
Meru,48804751,2010
Migori,33740295,2010
Mombasa,23859814,2010
Murang'a,40165833,2010
Nairobi,57221295,2010
Nandi,17534279,2010
Narok,21204229,2010
Nyamira,17633141,2010
Nyandarua,19060922,2010
Nyeri,29502797,2010
Samburu,2463648,2010
Siaya,29261378,2010
Taita Taveta,9459773,2010
Tana River,2729374,2010
Tharaka-Nithi,13211135,2010
Trans Nzoia,16621906,2010
Turkana,6028311,2010
Uasin Gishu,24458167,2010
Vihiga,13386710,2010
Wajir,3281125,2010
West Pokot,7683940,2010
Nakuru,48330673,2010
Baringo,19077083,2015
Bomet,42415164,2015
Bungoma,50808255,2015
Busia,39947881,2015
Elgeyo-Marakwet,17790556,2015
Embu,28731322,2015
Garissa,12431853,2015
Homa Bay,53714356,2015
Isiolo,3773788,2015
Kajiado,28671167,2015
Kakamega,70899317,2015
Kericho,29225017,2015
Kiambu,85349691,2015
Kilifi,41378142,2015
